X_true_mm,Y_true_mm,Z_true_mm,X_pred_mm,Y_pred_mm,Z_pred_mm,pos_err_mm,ang_err_deg
-216.95874,-2.7099178,388.47968,-217.20842,-4.5363116,387.08936,1.3330472,3.6840477
170.65863,-71.12593,252.64243,171.84732,-72.26918,249.07677,2.2681801,62.587425
-216.655,165.99103,356.3714,-217.26985,167.08473,355.76566,0.80439585,1.9511021
-77.84501,-15.379579,266.14285,-76.94897,-16.010317,264.43585,1.171121,5.1581244
-34.850636,27.374851,396.4408,-36.219692,24.032492,397.48618,2.1709063,2.4628375
233.03104,-56.273876,291.75827,235.727,-57.27895,290.28964,1.8650547,7.1730313
31.115921,127.450165,499.04688,30.906794,129.35443,498.3202,1.1829392,1.3728461
-120.5677,94.469894,232.66779,-119.24656,98.47115,233.44046,2.4733596,9.240706
-129.16216,92.88616,369.20215,-128.0491,95.23647,367.70297,1.733049,13.646336
194.05916,135.79718,255.07054,194.37466,137.1592,257.15497,1.4490759,3.0915914
-137.06529,-50.696934,288.63254,-131.96553,-47.86985,289.1794,3.3812742,3.8005474
-187.72266,-190.45708,458.10837,-186.72156,-190.78905,460.47192,1.4943001,2.9755144
-105.83462,158.96672,350.38278,-104.490456,157.64752,347.14413,2.1630144,3.3418407
43.06153,-77.23876,226.70349,45.64378,-79.48314,222.4972,3.1303985,12.945323
27.045252,95.8813,418.58362,25.520327,94.350006,418.64435,1.2481923,1.0585468
154.8554,244.23296,333.22968,152.11526,241.99803,335.2028,2.3378313,1.7617382
30.237976,100.88087,224.8057,27.779095,102.44274,229.88089,3.3785183,1.8154773
-105.78939,203.34286,345.3671,-104.362366,203.3389,344.82385,0.88157606,2.5516276
-43.55183,-243.32253,333.65836,-46.567924,-240.13167,332.85144,2.5774343,3.7351546
159.06049,51.858734,375.1363,160.28679,49.74691,376.39194,1.5853777,2.3071578
63.25323,-201.33865,330.31335,65.17037,-201.80971,330.49255,1.1444699,3.1417363
229.53883,186.2523,380.2705,230.21158,188.04965,379.59268,1.1750877,1.3305274
-65.2978,230.12387,411.15195,-65.48256,231.36293,412.09515,0.90536255,5.3452377
26.305756,-232.9232,496.83865,25.592844,-235.06046,495.34875,1.5594754,3.215209
46.9621,-183.36932,367.2875,42.86345,-183.38737,366.5824,2.4011421,1.089253
174.14561,166.38052,332.1852,176.55598,167.26694,331.44595,1.5429533,0.9779302
-177.26323,93.443214,413.61395,-175.90097,93.65034,414.05115,0.83462334,0.6012462
-46.74483,240.82889,474.15768,-45.28556,240.76791,475.0805,0.99746126,0.92656857
204.97948,128.2546,206.90247,202.82909,129.47717,205.33484,1.6907923,3.848968
-228.46655,47.09504,210.81813,-228.80865,42.68811,214.15294,3.1968215,6.071635
161.35313,19.621628,493.197,161.18333,19.927341,494.03827,0.5260043,1.3644458
-42.30798,-245.06631,363.80255,-41.1442,-245.16708,362.3357,1.082622,2.6642282
164.902,141.90735,215.533,166.53009,143.76164,215.43875,1.4257151,16.076046
-245.02272,-57.999107,398.11188,-243.69514,-56.607372,400.00812,1.5593921,1.1472875
-67.47692,-196.6734,228.95831,-70.263,-200.18703,231.42415,2.9545531,1.6451471
-210.68498,23.417398,231.84314,-208.23291,22.189653,233.48483,1.8452797,6.498995
76.30729,-65.01863,320.81995,78.44059,-65.876274,319.96603,1.4160615,2.8598125
-113.07545,52.928978,399.11078,-113.33996,52.659084,400.18008,0.6547831,2.6192846
101.326035,-241.66394,446.03616,96.144554,-238.9289,448.73022,3.7231789,3.2420187
221.90071,-167.51193,456.16086,222.71696,-165.08589,456.5988,1.4993024,3.2598116
-186.59145,19.915464,316.03375,-187.69641,19.335629,316.6879,0.81344175,0.8240965
182.38916,54.95371,494.05457,180.4659,54.447136,495.15402,1.3120421,1.2681055
-220.26793,-208.89293,241.83963,-222.30817,-210.33165,241.82327,1.4413829,0.42852622
-59.614742,68.188934,401.21408,-55.734417,68.46972,401.49356,2.251953,1.1115811
-35.11297,170.61058,269.48868,-33.767117,170.59676,267.65646,1.3125697,2.7987642
-5.575227,-106.60819,412.46973,-5.0842204,-105.40724,413.8946,1.1125964,5.4849424
238.23117,10.66539,340.80197,240.141,8.084074,337.73782,2.5625293,1.7220042
137.8456,203.05965,209.08795,137.64789,203.05782,207.2273,1.0802987,2.9765968
-95.57132,101.47984,213.39738,-100.62945,105.18444,211.71942,3.7471886,4.9947867
-115.08161,-146.63884,288.7708,-113.86003,-144.42007,290.07816,1.6456329,1.5761299
181.5601,233.24634,229.22487,181.77232,236.49873,231.09386,2.169196,5.6736126
190.6536,-78.96248,406.4227,188.24265,-79.546524,408.75204,1.9646577,0.45745593
5.353253,162.10123,338.22598,3.436966,161.7493,340.90515,1.912586,2.494448
-77.852135,-23.741262,393.20477,-80.442726,-22.603622,392.15457,1.742442,1.6271346
247.45868,144.88379,399.98038,248.24464,143.93393,403.83926,2.338873,4.0492554
-92.02823,210.46133,214.24905,-92.66606,210.0711,214.78058,0.5296625,1.9646275
-158.64381,201.36166,324.3755,-160.87918,202.01718,324.4872,1.3464831,2.4402535
190.04907,152.30124,404.86496,189.20644,152.08264,405.3114,0.56483936,2.8322906
156.1677,-88.51384,470.9347,155.50476,-88.44073,471.7755,0.61962485,1.7935307
83.9447,206.31483,483.79962,84.55396,207.2721,481.41162,1.5264437,0.40177077
229.20682,-173.33011,314.81207,231.6084,-172.76994,312.9484,1.7846261,15.017999
212.85728,-119.90251,372.90408,212.50139,-121.26833,374.07547,1.058974,0.8704435
124.12425,73.17661,480.20566,125.67975,74.09102,478.4517,1.4528257,26.97218
180.35071,124.09056,213.55344,175.79385,127.92023,214.47754,3.4777977,9.884579
-126.426636,-224.83186,492.85645,-131.59285,-225.35867,490.34192,3.331173,3.1943333
-179.37672,-115.56792,336.43677,-180.437,-119.91042,335.52567,2.6338594,1.7135843
85.03093,-65.48339,454.80447,84.25529,-65.4877,456.381,1.0144148,0.5986392
107.309265,173.62326,250.34932,112.09078,172.65771,248.0655,3.1097152,3.9011025
-166.47354,-249.04132,480.75302,-164.14824,-249.93137,482.85248,1.8803307,2.0718758
-52.221367,194.99779,432.33685,-53.22872,195.19647,433.93927,1.0987841,1.4515824
205.12788,-82.63472,395.87875,203.84836,-83.784386,396.15063,1.005458,1.6127112
30.700384,58.286777,251.91873,32.708275,58.06813,248.8724,2.1102552,3.6997416
39.16796,217.8804,331.4817,42.526955,215.10379,332.20706,2.5507238,3.150884
-152.93512,-219.20073,375.70685,-154.86919,-217.79817,374.42987,1.5640175,4.1209016
13.011124,22.626728,320.58484,12.710476,21.281992,324.6709,2.4896176,6.741986
11.717363,-138.89125,467.86105,15.067462,-138.50508,466.45563,2.1093056,2.6356363
-205.53218,101.12374,365.23615,-204.88359,100.478584,365.54047,0.5566291,1.7607795
240.97134,158.90916,226.71599,239.19293,157.38991,230.7192,2.6768472,6.3732014
35.6978,-126.87528,462.60095,36.38438,-126.75625,462.94543,0.4487873,1.9369898
-246.79556,179.94728,293.39224,-248.4944,179.403,289.7948,2.3183243,4.069163
136.3246,-161.29327,251.47125,135.51263,-157.00795,249.1753,2.8457406,2.7668326
239.13286,-9.963865,392.86404,237.11255,-9.39196,392.00665,1.3094332,1.3287723
44.935013,-184.3587,442.3921,47.127705,-183.98038,440.67993,1.620958,4.138399
-90.15919,-96.241646,287.09134,-89.4433,-95.25066,283.98273,1.9285583,4.431538
-156.24614,-62.936558,346.21536,-155.26056,-63.48846,344.75272,1.0669739,0.9771102
86.26331,97.63346,490.3944,85.54052,95.33763,492.2437,1.7524451,3.9746885
-152.4463,-91.574936,332.58847,-150.9051,-89.993286,334.84537,1.8230463,9.167579
38.843945,14.827662,311.91608,38.371204,14.07812,314.1273,1.3753492,3.3328965
51.119587,75.66011,365.12656,52.335922,76.10005,364.227,0.90962267,2.9574363
231.21155,142.86766,412.12408,228.05182,144.12547,413.14963,2.0508306,4.0847654
-213.86737,-103.23078,392.96915,-216.31229,-104.483765,391.83588,1.7157973,5.1401887
-0.013588171,-221.82529,209.95885,0.85533595,-220.64581,212.44267,1.6648902,4.2908845
122.048744,-131.47395,481.89932,125.5742,-132.7563,481.3176,2.1917791,2.278106
-161.38663,22.97349,337.55597,-159.27655,21.445831,338.41,1.5827761,3.383233
-55.966633,188.83864,411.2663,-54.924564,190.69373,409.33194,1.66022,1.8844516
-218.55225,78.77243,379.59857,-217.69891,78.63055,379.27118,0.5340079,0.725089
112.94043,53.639404,249.26877,108.36329,57.092823,245.77754,3.8757787,3.07639
-206.11604,-234.11378,498.42236,-205.72495,-232.34804,498.9102,1.0814793,1.1369274
-52.454147,-0.9815904,436.1353,-55.63739,0.17209339,436.53214,1.9682045,1.3013376
186.76132,-84.5491,401.81735,186.62407,-86.595345,401.29327,1.2221023,1.8901936
-13.849832,-76.29179,280.9088,-10.439865,-77.056,274.1394,4.398363,2.150421
206.31097,229.69403,257.44147,208.03838,230.1743,252.2955,3.1461902,2.5400562
132.95856,-168.2663,226.8922,132.13805,-165.79202,227.5978,1.559181,3.337083
207.66199,-205.81613,367.2911,206.99521,-208.35274,370.5459,2.4133399,6.4815545
-186.2985,-97.45542,263.33032,-184.39166,-97.33748,265.99274,1.8919444,7.6790457
-213.21854,71.349174,326.27417,-215.01341,71.20168,325.27557,1.1889111,4.5857186
-214.83688,-115.19571,428.31454,-214.07028,-116.0278,427.9723,0.68244505,0.77107763
184.42714,102.91043,381.97073,185.95563,103.15371,382.65674,0.97742224,2.2484396
67.03499,97.54594,295.25305,67.06445,97.90717,291.31,2.2861202,3.592284
-1.714153,-30.902962,227.85197,-2.7050414,-29.110998,227.19362,1.24183,5.481181
-168.2283,167.34966,292.4529,-165.93724,164.61243,296.5536,3.1388395,1.2070065
86.86672,-88.10822,259.19122,86.42204,-88.09762,254.5212,2.7084448,5.628249
-90.9913,61.596897,363.57983,-97.37249,61.493847,365.67212,3.877621,15.297045
105.43993,20.011486,326.72104,107.1513,18.754045,326.92627,1.231807,1.9916633
-19.822334,-214.15294,307.64072,-20.625439,-210.05336,307.8566,2.4151003,1.7546923
3.7349303,-76.387115,315.91098,-0.44384414,-75.12882,315.27136,2.5465379,4.5518155
144.83287,31.569277,322.39764,147.11536,29.592875,320.71564,1.9954159,2.740718
-203.62726,238.02872,327.86423,-204.80891,236.88184,332.77756,2.9917922,2.2555833
39.37925,141.82582,298.13995,37.30808,143.21863,301.48395,2.4091463,1.8101016
-151.38252,-9.546501,427.90555,-152.03209,-9.088593,427.31577,0.5713904,1.6115065
154.06837,-151.76477,358.75162,156.7553,-154.29968,357.34158,2.282799,1.1116157
-5.576982,-115.01876,203.38766,-6.505983,-111.10757,205.99644,2.7668402,35.577896
244.34766,-228.788,323.1969,244.45094,-232.14897,321.5493,2.1619024,4.1854067
-158.52834,40.790405,267.5003,-158.06021,38.75767,268.79404,1.4171438,4.538023
231.50957,-37.884888,378.63367,230.97125,-38.671806,377.41638,0.89271253,2.3537374
150.45851,79.27138,451.8138,148.0377,80.26573,450.3818,1.7223713,1.5754561
-9.369751,15.731266,423.01004,-11.426617,17.425785,425.36777,2.0543425,3.5883129
156.76703,-41.607933,236.90215,158.6377,-43.920925,237.10371,1.7214293,4.572479
51.42445,-73.987015,350.15057,51.654762,-72.931786,350.0524,0.6261498,1.9773759
77.56053,-229.68889,339.6544,77.82566,-234.0731,336.16803,3.2376094,2.8974178
206.84538,241.48354,331.87607,208.39792,241.28188,331.8333,0.9042239,1.7988322
-217.36479,-212.40137,310.71774,-217.3848,-210.90877,307.8776,1.8524488,3.4112537
167.49411,-237.26695,406.0089,168.12396,-238.58998,405.0461,1.0122747,1.1856766
-59.09261,-142.34854,236.50642,-59.41862,-140.19553,237.2232,1.3235726,2.7687643
-87.227196,-181.90688,214.96695,-87.33152,-178.3063,210.40364,3.356525,1.7356541
247.0134,147.21643,393.04248,245.01428,146.69963,393.66562,1.2452368,1.2554591
140.59526,-174.18517,260.16074,140.9431,-175.3798,260.82327,0.8138621,7.875929
-7.2324305,-80.02496,307.59238,-5.6323223,-83.45243,306.10104,2.3474774,6.8264356
-38.685802,-243.37581,476.61786,-39.378963,-242.59329,479.26694,1.6442243,1.3120694
188.76445,215.78455,242.56937,187.67633,215.70465,240.74387,1.227849,7.8396072
-206.59256,-89.479805,454.9371,-206.94333,-89.08187,454.24176,0.5049397,1.7201495
104.20938,171.4392,321.72607,106.69469,170.73705,321.7746,1.4913207,4.3652487
144.57732,230.96742,257.523,143.50043,227.97964,255.10237,2.3055005,17.469109
149.59819,113.72601,495.46524,151.74525,113.571526,494.10132,1.4712846,1.2092061
-88.856636,-119.62907,382.2992,-87.17027,-119.33844,383.69922,1.2764995,3.55302
148.31958,-3.9272625,266.67117,148.85637,-5.0847254,268.67572,1.3718687,8.382947
-137.33578,141.32596,429.0246,-137.35875,141.3233,429.39163,0.21232761,1.3971126
-68.84602,99.32308,311.1601,-67.19303,99.08444,314.2416,2.023615,1.8769373
-41.275944,163.78584,359.6775,-42.464214,163.16191,361.09488,1.1269826,3.0485477
20.704992,22.28712,306.96945,17.930937,20.284128,307.73517,2.0243258,3.8521805
-193.69316,78.751305,249.05388,-191.47676,82.70589,245.50565,3.3237083,2.331659
-46.5261,-68.401886,448.3843,-49.180054,-69.085106,448.41565,1.5823233,1.2912948
-249.84966,-154.29686,411.99542,-249.34769,-156.3946,413.14062,1.4099654,1.247177
122.19036,98.62013,278.17868,120.03163,101.86632,277.8406,2.2592127,1.5280051
175.93796,-248.55884,358.30624,178.21535,-245.87297,357.3615,2.1049867,6.628851
-180.53415,141.94048,203.82016,-179.88393,147.14438,200.03029,3.7357073,8.285941
101.89288,-246.38338,453.4486,97.850914,-248.54797,454.56604,2.7246802,2.5950737
160.55154,58.40046,266.6999,159.56285,53.624084,269.88354,3.3628821,2.5819528
240.91417,47.306927,292.30643,239.50934,42.549942,292.61038,2.8690789,3.6374447
171.89528,-197.24379,467.19373,172.25409,-199.10663,468.21326,1.2434304,2.5783389
-37.94676,46.101147,258.96216,-35.719296,48.356907,265.05212,3.9639094,7.8313465
239.84435,128.92354,402.91748,241.7074,128.98537,399.34985,2.3239872,2.199756
236.9922,17.99598,216.56026,235.56381,16.353428,215.21536,1.4772741,7.355617
1.8384895,86.38027,371.66125,1.7156154,85.53674,368.53763,1.8693745,2.4585676
126.723274,104.33586,431.04147,126.50446,103.01073,432.7679,1.2628613,0.78640205
206.91884,-147.04506,369.98184,207.25717,-146.4984,369.46527,0.476149,4.605611
-11.926464,213.30826,498.38385,-11.632525,213.47226,496.45294,1.1316217,13.661599
181.89313,-86.22927,377.24878,183.49852,-86.101234,380.51614,2.1031206,0.8678798
100.78428,41.850975,326.12985,102.87404,42.937077,326.96347,1.442409,1.6036435
-103.03787,-198.40855,288.8028,-102.3709,-200.35805,290.69815,1.6163481,22.873898
133.82614,248.2025,390.05353,129.75232,246.76936,391.39606,2.6110208,2.314683
35.342392,77.07056,416.07455,36.28343,74.329735,414.111,2.0209923,2.0592148
-203.07742,-19.107183,322.38818,-204.95093,-16.288448,322.52057,1.9555743,2.787271
-54.309784,33.05987,485.15503,-55.647568,33.93316,485.6673,0.968627,1.4210227
-213.12949,-236.40584,406.34537,-212.43275,-238.90193,408.31308,1.8786353,5.681784
-11.916518,-129.96017,382.88705,-13.477056,-129.30652,383.41656,1.0235436,0.6782667
-35.730194,237.34453,286.9046,-33.979527,238.69995,286.62424,1.2884892,23.45023
-38.13128,-209.48424,495.06543,-37.37661,-212.3454,493.58728,1.9096849,2.193246
43.150177,-179.14955,272.75797,40.373196,-178.74586,278.17172,3.5205755,1.9749835
-188.65468,36.53863,348.0736,-189.26958,33.63818,345.80377,2.1558352,2.360051
216.88445,136.98607,337.8813,215.92694,136.21521,337.63626,0.72366554,0.9344683
92.02522,176.43657,341.04797,90.66077,175.0916,341.63382,1.1567054,4.190726
161.89069,180.61415,308.2211,161.43251,179.58058,308.64224,0.6965514,2.3660078
198.40062,130.11108,413.856,196.15974,128.52184,415.03665,1.7263836,1.8666512
41.660023,-76.17113,444.48486,40.296337,-76.11304,443.7307,0.90032506,2.536322
-229.89088,40.790577,240.6708,-232.152,41.353428,241.13797,1.3720609,4.572304
105.743416,156.56155,212.24161,103.53254,156.26163,213.2248,1.4076675,2.4951477
34.512924,-180.57709,333.36215,29.06671,-180.52217,332.98532,3.1520507,63.88161
162.9786,-209.28972,499.86716,160.70447,-210.92632,499.76266,1.6187524,2.6523795
16.080236,-20.707403,400.0913,17.0882,-20.823769,397.798,1.4478462,1.0051472
156.62206,-94.829834,382.90887,159.55841,-93.30751,382.1788,1.9555612,1.4143226
248.50514,-248.13263,334.08243,247.82835,-248.20161,335.7346,1.0315742,4.3613086
-74.722595,8.431759,439.1668,-75.5379,9.24604,437.4886,1.1753314,0.24776272
-164.48929,-63.511112,219.64166,-165.83478,-62.95053,219.51743,0.84459615,3.9963388
-54.162598,191.56728,385.24567,-53.165054,194.20718,388.2735,2.3896983,1.730679
126.525,-82.91199,444.34567,126.12679,-82.74511,443.34006,0.6318439,2.1282213
-30.385534,81.33553,308.9476,-31.341604,82.48988,309.3839,0.9012881,2.8625643
44.190052,34.039192,335.13498,40.745087,32.185635,331.9324,2.9189012,3.522079
-186.32077,-100.166695,290.8088,-186.96277,-99.46805,293.1797,1.4743747,5.7371964
113.06175,-16.193972,336.8575,113.87486,-11.9095545,335.0287,2.7302005,1.0347898
-109.9588,-66.17002,397.39368,-110.76769,-66.61066,396.16577,0.886231,1.1479284
-154.69122,-131.20697,200.11343,-156.67348,-132.54321,200.99458,1.4709747,1.7201099
